2003,0,0,71
2003,0,1,74
2003,0,2,77
2003,0,3,107
2003,0,4,110
2003,0,5,113
2003,0,6,143
2003,0,7,146
2003,0,8,149
2003,0,9,179
2003,0,10,182
2003,0,11,185
2003,0,12,215
2003,0,13,218
2003,0,14,221
2003,1,0,251
2003,1,1,254
2003,1,2,257
2003,2,0,62
2004,0,0,323
2004,0,1,326
2004,0,2,329
2004,0,3,359
2004,0,4,362
2004,0,5,365
2004,0,6,395
2004,0,7,398
2004,0,8,401
2004,0,9,431
2004,0,10,434
2004,0,11,437
2004,0,12,467
2004,0,13,470
2004,0,14,473
2004,0,15,503
2004,0,16,506
2004,0,17,509
2004,1,0,575
2004,1,1,578
2004,1,2,581
2004,1,3,611
2004,1,4,614
2004,1,5,617
2004,1,6,647
2004,1,7,650
2004,1,8,653
2004,1,9,683
2004,1,10,686
2004,1,11,689
2004,1,12,719
2004,1,13,722
2004,1,14,725
2004,1,15,755
2004,1,16,758
2004,1,17,761
2004,2,0,827
2004,2,1,830
2004,2,2,833
2004,2,3,863
2004,2,4,866
2004,2,5,869
2004,2,6,899
2004,2,7,902
2004,2,8,905
2004,2,9,935
2004,2,10,938
2004,2,11,941
2004,2,12,971
2004,2,13,974
2004,2,14,977
2004,2,15,1007
2004,2,16,1010
2004,2,17,1013
2004,3,0,1079
2004,3,1,1082
2004,3,2,1085
2004,3,3,1115
2004,3,4,1118
2004,3,5,1121
2004,3,6,1151
2004,3,7,1154
2004,3,8,1157
2004,3,9,1187
2004,3,10,1190
2004,3,11,1193
2004,3,12,1223
2004,3,13,1226
2004,3,14,1229
2004,3,15,1259
2004,3,16,1262
2004,3,17,1265
2004,4,0,1331
2004,4,1,1334
2004,4,2,1337
2004,4,3,1367
2004,4,4,1370
2004,4,5,1373
2004,4,6,1403
2004,4,7,1406
2004,4,8,1409
2004,4,9,1439
2004,4,10,1442
2004,4,11,1445
2004,4,12,1475
2004,4,13,1478
2004,4,14,1481
2004,4,15,1511
2004,4,16,1514
2004,4,17,1517
2004,5,0,1583
2004,5,1,1586
2004,5,2,1589
2004,5,3,1619
2004,5,4,1622
2004,5,5,1625
2004,5,6,1655
2004,5,7,1658
2004,5,8,1661
2004,5,9,1691
2004,5,10,1694
2004,5,11,1697
2004,5,12,1727
2004,5,13,1730
2004,5,14,1733
2004,5,15,1763
2004,5,16,1766
2004,5,17,1769
2005,0,0,4
2005,0,1,5
2005,0,2,6
2005,0,3,7
2005,0,4,8
2005,0,5,11
2005,0,6,12
2005,0,7,13
2005,0,8,14
2005,0,9,15
2005,0,10,55
2005,0,11,56
2005,0,12,57
2005,0,13,58
2005,0,14,59
2005,0,15,10368
2005,0,16,10369
2005,0,17,10370
2005,0,18,10371
2005,0,19,10372
2005,0,20,10373
2005,0,21,10374
2005,0,22,10375
2005,0,23,41311
2005,0,24,23
2005,0,25,23448
2005,0,26,23449
2005,0,27,23450
2005,0,28,23451
2005,0,29,39746
2008,0,0,1799
2008,0,1,1802
2008,0,2,1805
2008,0,3,1835
2008,0,4,1838
2008,0,5,1841
2008,0,6,1871
2008,0,7,1874
2008,0,8,1877
2008,1,0,61
2008,1,1,2198
2008,1,2,39738
2008,1,3,40761
2008,2,0,3683
2008,2,1,3684
2008,2,2,3685
2008,2,3,3686
2008,2,4,3687
2008,2,5,3688
2008,2,6,3689
2008,2,7,3690
2008,2,8,3691
2008,2,9,3692
2008,2,10,3693
2008,2,11,7098
2008,2,12,7100
2008,2,13,7465
2008,2,14,7492
2008,2,15,36141
2008,2,16,33973
2008,2,17,26607
2009,0,0,2137
2009,0,1,2138
2009,0,2,2139
2009,0,3,3909
2009,1,0,2143
2009,1,1,2144
2009,1,2,7552
2009,1,3,7553
2009,1,4,9226
2009,1,5,9227
2009,1,6,9237
2009,2,0,38417
2009,2,1,38524
2009,2,2,38418
2009,2,3,38419
2009,2,4,38420
2009,2,5,38421
2009,2,6,38435
2009,2,7,38748
2009,2,8,38436
2009,2,9,38437
2009,2,10,38438
2009,2,11,38439
2009,2,12,38453
2009,2,13,38751
2009,2,14,38454
2009,2,15,38455
2009,2,16,38456
2009,2,17,38457
2009,3,0,38423
2009,3,1,38746
2009,3,2,38424
2009,3,3,38425
2009,3,4,38426
2009,3,5,38427
2009,3,6,38441
2009,3,7,38749
2009,3,8,38442
2009,3,9,38443
2009,3,10,38444
2009,3,11,38445
2009,3,12,38459
2009,3,13,38752
2009,3,14,38460
2009,3,15,38461
2009,3,16,38462
2009,3,17,38463
2009,4,0,38429
2009,4,1,38747
2009,4,2,38430
2009,4,3,38431
2009,4,4,38432
