1,118,59,82,5
2,470,235,329,5
3,1058,529,740,5
4,1880,940,1316,5
5,2938,1469,2056,5
6,5640,2820,3948,5
7,9048,4524,6333,5
8,13160,6580,9212,6
9,17978,8989,12584,7
10,23500,11750,16450,8
11,31876,17449,22280,11
12,40018,23970,27971,14
13,49373,31314,34510,17
14,60016,39480,41949,20
15,72027,48469,50345,23
16,85485,63920,59751,28
17,100470,80899,70225,34
18,117062,99405,81822,39
19,136451,119439,95537,45
20,158223,141000,110781,50
21,188419,175616,132029,59
22,223796,213877,156819,68
23,264992,256098,185685,76
24,312881,302616,219243,85
25,369518,353793,258685,94
26,434948,410023,304490,103
27,510829,471726,357612,111
28,598715,539358,419137,120
29,700378,613408,490307,129
30,817843,694401,572540,138
31,932030,797615,652313,150
32,1060234,909413,742041,163
33,1204307,1030398,842876,176
34,1366074,1161207,956094,189
35,1547561,1302521,1083113,202
36,1751012,1455064,1225505,215
37,1978917,1619605,1385012,228
38,2234035,1796962,1563565,241
39,2519423,1988006,1763304,254
40,2838466,2193662,1986598,267
41,3164486,2434690,2214774,285
42,3576218,2691491,2502777,303
43,4037824,2964941,2825827,320
44,4555314,3255960,3187987,338
45,5135145,3565517,3593775,356
46,5784493,3894629,4048214,374
47,6511334,4244365,4556886,392
48,7324529,4615848,5125991,410
49,8233919,5010259,5762417,428
50,9250434,5428838,6473814,446
51,10336273,5928672,7233727,470
52,11542911,6456843,8078179,495
53,12883260,7014724,9016208,520
54,14371571,7603747,10057786,544
55,15888036,8225409,11117616,569
56,17553517,8881273,12283032,593
57,19384308,9572970,13564123,618
58,21396162,10302207,14971914,643
59,23606293,11070764,16518448,667
60,26033499,11880499,18216879,692
61,28559670,12966705,19984561,733
62,31318341,14107392,21914935,774
63,35086364,15304851,24554168,815
64,39296987,19873752,27500850,1028
65,43996797,25746755,30789875,1293
66,49241204,27737438,34460020,1352
67,55091765,29824390,38554365,1412
68,61616866,32011597,43120766,1471
69,67588035,34303194,47304416,1531
70,74122183,36703478,51877622,1590
71,79538264,39672619,55436098,1669
72,83661289,42786876,58058764,1747
73,89752749,46052286,61394650,1826
74,94351379,49475107,64902703,1904
75,97915971,53061852,67072440,1983
76,102877230,56819276,70162271,2061
77,108061802,60754391,73373963,2140
78,113478932,64874473,76711758,2219
79,116318408,69187084,78282289,2297
80,122089981,73700063,81800288,2376
81,128117891,79113876,85454633,2476
82,134412689,84786193,89250025,2576
83,140985308,90727646,93191289,2676
84,146503051,96949273,96399008,2777
85,153600751,103462544,100608492,2877
86,161008892,110279361,104977798,2977
87,168740096,117412071,109512322,3077
88,176807491,124873495,114217639,3178
89,191455502,132676933,123105887,3278
90,200532065,140836186,128340521,3378
91,223668681,184668797,142476950,4300
92,253702161,236769449,160847170,5353
93,299634728,215318267,191766226,4726
94,363508221,344293104,231554737,7337
95,447534128,343039083,283736637,7097
96,554104799,315140867,349640128,6330
97,685805270,421624677,430685710,8223
98,845425758,481977529,524163970,9126
99,1035974782,661329766,631944617,12157
100,1251354682,703017784,750812809,12547
101,1441057398,844284983,857429152,14629
102,1645187412,999709104,970660573,16818
103,1864595320,1172555434,1090788262,19151
104,2100174854,1363995021,1218101415,21629
105,2352865342,1471625932,1352897572,22656
106,2623653854,1794607539,1495482697,26824
107,2913576906,2122248614,1646170952,30797
108,3223723100,2486297830,1805284936,35029
109,3555235746,2889195883,1955379660,39520
110,3909314772,3269913487,1954657386,43425
111,4399086906,4612602544,2397502364,59472
112,5042201650,5422810037,2722788891,67881
113,5732663452,6322558625,3066974947,76839
114,6473200084,7317844272,3430796045,86345
115,7266675603,8711981191,3815004692,99800
116,8256515167,9903346740,4293387887,100645
117,9464137064,11205118289,4874030588,102149
118,10759760406,12624250027,5487477807,102542
119,12148413490,14168057465,6134948813,103084
120,13635374713,15844231618,6817687356,106951
121,13839905333,17030115381,6919952667,112514
122,14047503913,18362359745,7023751957,118078
123,14258216472,19759211366,7129108236,123642
124,14472089719,21223347297,7236044860,129206
125,14935196590,22757548840,7467598295,134770
126,15413122881,24364700411,7706561441,140333
127,15906342813,26047799582,7953171407,145897
128,16415345783,27809956038,8207672892,151461
129,16940636848,29654399973,8470318424,157025
130,17482737227,31584480682,8741368614,162589
131,18042184819,33603678133,135913794739,168152
132,18619534733,35956074951,135913794739,173716
133,19215359844,38419371488,135913794739,179280
134,19830251359,40998105319,135913794739,184844
135,20464819403,43696984317,135913794739,190408
136,21119693624,46520898276,135913794739,195971
137,21795523820,50868793718,135913794739,201535
138,22492980582,55435694977,135913794739,207099
139,23212755961,60230828770,135913794739,212663
140,23955564151,65263777277,135913794739,218227
