walk,-10645,2602,1
walk,-10638,2591,1
walk,-10627,2581,1
walk,-10637,2600,1
walk,-10651,2618,1
walk,-10663,2633,1
walk,-10673,2644,1
walk,-10659,2636,1
walk,-10640,2636,1
walk,-10623,2635,1
walk,-10629,2611,1
walk,-10635,2589,1
walk,-10643,2566,1
walk,-10657,2548,1
walk,-10667,2539,1
walk,-10681,2528,1
walk,-10701,2531,1
walk,-10725,2530,1
walk,-10747,2533,1
walk,-10759,2532,1
walk,-10753,2547,1
walk,-10739,2570,1
walk,-10726,2586,1
walk,-10708,2599,1
walk,-10699,2608,1
walk,-10685,2613,1
walk,-10671,2611,1
walk,-10659,2603,1
