2094,2,26265
2094,175,23088
2094,176,23603
2095,1,25000
2095,5,23687
2011,4,25761
2056,3,24993
2096,2,26265
2096,25,27244
2096,175,23088
2096,176,23603
2120,9,24734
2119,6,25244
0,11,27027
0,10,-32767
3826,14,23439
3827,15,23183
3824,12,23436
3825,13,23180
5901,18,24438
5901,19,22390
5901,28,25975
5902,18,24438
5902,19,22390
5910,16,23929
5910,17,22137
5910,28,25975
5911,16,23929
5911,17,22137
19074,25,27244
7524,22,26457
7524,23,25945
7524,177,23856
7527,21,25163
7527,177,23856
7528,21,25163
7528,177,23856
7529,31,24424
19075,20,26959
19075,5,23687
7545,29,26237
7546,30,25469
7547,18,24438
7547,16,23929
7548,26,27000
7549,27,26232
19071,24,24934
7522,8,24758
7526,40,26959
7526,41,26957
19519,39,27471
19519,41,26957
19072,39,27471
19072,40,26959
2031,43,25001
2031,44,25000
2031,45,24999
2034,42,25000
2034,44,25000
2034,45,24999
2037,42,25000
2037,43,25001
2037,45,24999
2035,42,25000
2035,43,25001
2035,44,25000
23285,49,17221
23285,50,17222
23285,51,17225
23286,49,17221
23286,50,17222
23286,51,17225
23287,49,17221
23287,50,17222
23287,51,17225
22574,46,23719
22574,47,23720
22574,48,23721
22575,46,23719
22575,47,23720
22575,48,23721
22576,46,23719
22576,47,23720
22576,48,23721
22577,53,17224
22577,54,17735
22578,52,17989
22578,54,17735
22579,52,17989
22579,53,17224
22579,1,25000
0,56,-32761
0,55,26284
0,59,-32762
0,62,-32762
0,57,-32761
0,69,-32762
0,93,-32762
0,58,-32762
0,78,-32762
0,73,-32762
0,84,-32762
0,72,-32762
0,89,-32762
0,60,-32762
0,77,-32762
0,70,-32762
0,82,-32762
0,71,-32762
0,83,-32762
0,76,-32762
0,81,-32762
0,86,-32762
0,72,-32762
0,84,-32762
0,90,-32762
0,88,-32762
0,94,-32762
0,92,-32762
0,100,-32762
0,102,-32762
0,95,-32762
0,109,-32762
0,97,-32762
0,87,-32762
0,73,-32762
0,114,-32762
0,98,-32762
0,101,-32762
0,60,-32762
0,91,-32762
0,80,-32762
0,116,-32762
0,106,-32762
0,118,-32762
0,113,-32762
0,126,-32763
0,115,-32762
0,75,-32762
0,96,-32762
0,79,-32762
0,99,-32762
0,117,-32762
0,132,-32764
0,133,-32764
0,134,-32764
0,135,-32764
0,127,-32763
0,128,-32763
0,129,-32763
0,130,-32763
23281,59,-32762
23282,135,-32764
23283,126,-32763
23284,56,-32761
24182,144,17997
24182,145,17999
24182,146,18000
24183,144,17997
24183,145,17999
24183,146,18000
22581,142,23714
22581,143,23459
22582,142,23714
22582,143,23459
22583,142,23714
22583,143,23459
22584,148,17998
22584,149,17231
22585,147,17743
22585,149,17231
22586,147,17743
22586,148,17998
22586,1,25000
24184,153,14661
24184,154,14662
24184,155,14663
24184,156,14664
24185,153,14661
24185,154,14662
24185,155,14663
24185,156,14664
24186,153,14661
24186,154,14662
24186,155,14663
24186,156,14664
24187,150,24710
24187,151,24711
24187,152,24711
24188,150,24710
24188,151,24711
24188,152,24711
24189,150,24710
24189,151,24711
24189,152,24711
24190,150,24710
24190,151,24711
24190,152,24711
24191,158,15176
24191,159,15175
24192,157,15172
24192,159,15175
24193,157,15172
24193,158,15176
24193,5,23687
24303,162,26045
0,160,23406
25593,165,29631
25593,166,31423
25593,167,31410
26987,164,19019
26988,164,19019
26989,164,19019
26990,164,19019
26991,164,19019
26992,164,19019
26993,173,-32752
26994,174,-32752
0,171,22347
0,172,21067
26995,1,25000
26995,5,23687
26995,176,23603
26996,1,25000
26996,5,23687
26996,175,23088
26742,22,26457
26742,23,25945
26742,21,25163
26997,180,21569
26998,181,19001
26999,178,23608
27000,179,21812
38727,208,23498
38728,207,25158
38729,220,32236
38729,210,32236
38729,211,32236
38729,221,-32746
38729,212,-32746
38729,214,-32746
38730,209,22219
38731,209,22219
38732,209,22219
38733,209,22219
38734,209,22219
38735,209,22219
38736,209,22219
38737,209,22219
38738,209,22219
38739,209,22219
38740,209,22219
38741,209,22219
38742,209,22219
38743,209,22219
38744,209,22219
26790,232,27091
26790,233,27091
26790,234,27091
26790,235,27091
26790,228,27091
26790,229,27091
26790,230,27091
26790,231,27091
40419,5,23687
40420,5,23687
40421,5,23687
40422,5,23687
40423,5,23687
40424,5,23687
40425,5,23687
40426,5,23687
40958,251,15451
40958,252,15963
40958,253,16219
40959,250,25933
40959,257,26189
40959,258,25676
40960,250,25933
40960,257,26189
40960,258,25676
40961,250,25933
40961,257,26189
40961,258,25676
40962,255,15707
40962,256,15710
40963,254,16222
40963,256,15710
40964,254,16222
40964,255,15707
40964,20,26959
40965,251,15451
40965,252,15963
40965,253,16219
40966,251,15451
40966,252,15963
40966,253,16219
40967,236,32242
40967,237,31985
